month,open,high,low,close,valume,close_arranged
1992/01/01,1330,1330,1150,1180,10202000,1180
1992/02/01,1190,1200,1060,1150,12973000,1150
1992/03/01,1150,1170,1010,1040,17846000,1040
1992/04/01,1030,1080,970,1060,16597000,1060
1992/05/01,1050,1120,999,1020,13509000,1020
1992/06/01,1000,1020,855,859,18855000,859
1992/07/01,851,960,830,893,13084000,893
1992/08/01,897,980,831,924,12541000,924
1992/09/01,930,1030,860,866,23953000,866
1992/10/01,865,888,841,857,13615000,857
1992/11/01,846,875,827,875,10044000,875
1992/12/01,871,884,833,854,12277000,854
1993/01/01,858,860,823,852,7972000,852
1993/02/01,858,866,813,831,7682000,831
1993/03/01,832,995,815,949,21686000,949
1993/04/01,951,1120,920,1110,22830000,1110
1993/05/01,1100,1120,1040,1080,12043000,1080
1993/06/01,1070,1110,1010,1070,15123000,1070
1993/07/01,1070,1110,1030,1100,13898000,1100
1993/08/01,1090,1180,1070,1130,21991000,1130
1993/09/01,1110,1200,1110,1190,17409000,1190
1993/10/01,1180,1210,1130,1190,13932000,1190
1993/11/01,1180,1190,984,1020,17583000,1020
1993/12/01,1020,1090,999,1070,15222000,1070
1994/01/01,1040,1200,1020,1200,14218000,1200
1994/02/01,1190,1190,1030,1100,20137000,1100
1994/03/01,1110,1150,1040,1100,23644000,1100
1994/04/01,1110,1190,1080,1190,14732000,1190
1994/05/01,1180,1240,1140,1240,15603000,1240
1994/06/01,1230,1260,1150,1240,23323000,1240
1994/07/01,1230,1240,1150,1200,11405000,1200
1994/08/01,1200,1260,1170,1260,15956000,1260
1994/09/01,1260,1270,1200,1230,15545000,1230
1994/10/01,1240,1320,1220,1320,13157000,1320
1994/11/01,1310,1330,1250,1320,19820000,1320
1994/12/01,1310,1320,1270,1310,16111000,1310
1995/01/01,1310,1310,1110,1150,14218000,1150
1995/02/01,1150,1160,940,1040,13574000,1040
1995/03/01,1030,1100,971,1050,21090000,1050
1995/04/01,1020,1110,951,1060,15249000,1060
1995/05/01,1040,1070,956,968,13329000,968
1995/06/01,973,1010,890,965,11790000,965
1995/07/01,966,1050,950,1040,16241000,1040
1995/08/01,1030,1100,1000,1080,22373000,1080
1995/09/01,1050,1160,1020,1110,19954000,1110
1995/10/01,1120,1160,1090,1130,11749000,1130
1995/11/01,1130,1220,1100,1220,13770000,1220
1995/12/01,1220,1270,1190,1270,23087000,1270
1996/01/01,1310,1370,1250,1320,27910000,1320
1996/02/01,1310,1370,1270,1300,23799000,1300
1996/03/01,1280,1400,1220,1400,21044000,1400
1996/04/01,1400,1490,1380,1490,26043000,1490
1996/05/01,1490,1500,1400,1480,15974000,1480
1996/06/01,1490,1490,1410,1440,20611000,1440
1996/07/01,1470,1480,1330,1350,15325000,1350
1996/08/01,1340,1360,1190,1210,14567000,1210
1996/09/01,1220,1420,1210,1420,20541000,1420
1996/10/01,1400,1400,1270,1270,16354000,1270
1996/11/01,1280,1400,1270,1320,19441000,1320
1996/12/01,1310,1330,1110,1200,22100000,1200
