month,i_all_commodity,i_non_fuel_price,i_food_beverage,i_food,i_beverage,i_industrial_inputs,i_agricultural_raw_material,i_metal_price,i_fuel,i_crude_oil,aluminum,copper,natural_gas,crude_oil,rice,sugar
1992/01/01,52.89,83.33,96.10,97.99,78.67,70.43,87.01,58.45,35.07,32.77,1181.23,2150.58,1.44,17.52,276.00,30.17
1992/02/01,53.03,83.71,95.67,98.21,72.21,71.62,86.86,60.61,35.08,33.00,1270.75,2208.89,1.18,17.65,278.00,29.55
1992/03/01,52.75,83.72,94.92,97.46,71.44,72.40,88.13,61.04,34.63,32.49,1282.02,2231.79,1.26,17.35,277.00,28.68
1992/04/01,54.28,84.33,92.97,95.46,70.02,75.61,94.44,62.01,36.70,34.91,1317.13,2214.17,1.39,18.65,279.00,29.21
1992/05/01,55.59,85.31,94.40,97.30,67.66,76.12,95.54,62.09,38.20,36.55,1306.71,2219.32,1.55,19.52,274.00,30.11
1992/06/01,56.63,84.38,93.08,96.08,65.44,75.60,94.15,62.20,40.40,39.10,1275.27,2296.44,1.59,20.88,266.00,30.81
1992/07/01,56.75,86.36,95.40,98.20,69.55,77.23,94.42,64.81,39.43,37.80,1314.35,2527.29,1.68,20.18,279.00,31.91
1992/08/01,56.80,87.90,99.82,102.92,71.21,75.87,91.44,64.62,38.60,36.74,1305.55,2513.47,1.91,19.62,269.00,32.24
1992/09/01,57.72,88.72,101.47,104.82,70.57,75.83,93.53,63.05,39.58,37.81,1270.21,2419.61,2.09,20.19,256.00,30.88
1992/10/01,56.35,85.63,96.93,99.71,71.21,74.22,95.51,58.84,39.22,37.52,1180.84,2262.46,2.42,20.04,250.00,27.59
1992/11/01,54.38,83.74,94.52,96.72,74.18,72.86,95.36,56.61,37.20,35.39,1162.21,2161.79,2.28,18.90,252.00,25.38
1992/12/01,53.30,83.54,93.13,94.65,79.15,73.86,95.91,57.93,35.61,33.57,1209.02,2211.95,2.21,17.93,256.00,25.80
1993/01/01,52.84,83.97,94.26,96.25,75.92,73.58,95.64,57.64,34.62,32.25,1208.10,2264.21,1.95,17.24,262.00,25.48
1993/02/01,53.73,84.21,93.12,95.41,71.94,75.21,100.08,57.24,35.89,34.10,1203.15,2212.18,1.74,18.23,254.00,23.90
1993/03/01,54.25,84.68,94.14,96.87,68.99,75.13,102.46,55.39,36.44,34.62,1150.48,2152.38,2.17,18.50,230.00,24.28
1993/04/01,54.65,85.81,95.58,98.69,66.89,75.93,107.31,53.27,36.42,34.50,1110.28,1953.62,2.33,18.44,206.00,25.72
1993/05/01,54.77,87.00,96.97,100.12,67.87,76.94,111.33,52.09,35.90,34.00,1125.42,1799.35,2.14,18.17,185.00,25.75
1993/06/01,53.37,85.52,94.84,97.92,66.44,76.10,108.25,52.89,34.57,32.49,1168.09,1857.87,1.97,17.37,189.00,25.14
1993/07/01,52.96,87.16,97.19,99.87,72.52,77.03,109.44,53.62,32.96,30.63,1203.18,1927.34,2.05,16.37,210.00,24.89
1993/08/01,52.53,85.77,95.88,97.87,77.50,75.56,107.08,52.80,33.09,30.74,1172.76,1951.07,2.32,16.43,210.00,24.81
1993/09/01,51.51,84.87,95.46,96.60,84.91,74.18,106.70,50.69,32.00,29.55,1116.91,1858.25,2.25,15.80,206.00,25.35
1993/10/01,51.78,84.09,94.29,95.35,84.43,73.80,108.24,48.92,32.88,30.75,1089.43,1647.00,2.04,16.44,257.00,25.00
1993/11/01,50.48,84.03,95.43,96.51,85.47,72.52,106.44,48.02,30.84,28.22,1040.02,1632.57,2.30,15.09,323.00,24.62
1993/12/01,49.31,85.79,98.21,99.36,87.57,73.26,104.97,50.35,27.97,25.02,1091.35,1723.63,2.12,13.36,315.00,24.77
1994/01/01,50.35,86.78,99.01,100.82,82.28,74.43,104.92,52.40,29.05,26.56,1170.00,1807.07,2.38,14.17,354.00,24.82
1994/02/01,50.69,88.58,100.13,101.90,83.78,76.91,107.39,54.89,28.53,25.77,1270.53,1865.08,2.74,13.75,363.00,24.59
1994/03/01,50.53,88.84,99.83,101.01,88.92,77.75,109.02,55.16,28.12,25.64,1287.70,1913.17,2.13,13.69,274.00,24.79
1994/04/01,52.59,90.51,100.41,101.50,90.35,80.51,116.51,54.50,30.41,28.38,1277.29,1881.37,2.04,15.15,269.00,24.65
1994/05/01,54.85,93.00,102.82,102.09,109.52,83.08,117.85,57.96,32.54,30.78,1321.05,2144.50,1.93,16.43,235.00,24.99
1994/06/01,56.59,95.09,103.53,101.39,123.34,86.56,121.39,61.39,34.07,32.27,1402.36,2363.09,1.96,17.23,216.00,25.35
1994/07/01,57.87,96.17,105.09,99.06,160.76,87.17,119.62,63.72,35.46,33.81,1491.95,2447.24,1.90,18.04,226.00,25.69
1994/08/01,56.59,95.68,104.51,99.03,155.08,86.75,120.47,62.40,33.73,31.81,1457.07,2409.75,1.63,16.98,250.00,25.65
1994/09/01,56.68,98.25,107.60,101.15,167.11,88.82,120.38,66.02,32.36,30.23,1571.09,2504.84,1.48,16.13,259.75,26.00
1994/10/01,56.94,97.93,105.85,100.45,155.68,89.93,118.47,69.31,32.96,30.88,1694.26,2546.02,1.52,16.48,261.75,26.71
1994/11/01,57.90,98.63,103.18,98.64,145.12,94.04,119.02,75.99,34.08,32.26,1885.89,2803.55,1.58,17.20,264.50,26.43
1994/12/01,57.46,99.91,104.16,101.13,132.13,95.61,120.40,77.71,32.63,30.26,1878.38,2980.70,1.69,16.13,260.50,25.94
1995/01/01,58.88,101.30,103.81,100.42,135.16,98.77,120.88,82.79,34.05,31.67,2059.36,3003.26,1.49,16.88,274.75,26.19
1995/02/01,59.33,100.79,104.92,101.50,136.47,96.61,123.39,77.27,35.07,32.72,1905.45,2870.45,1.52,17.44,286.25,26.14
1995/03/01,59.84,102.17,106.30,102.40,142.32,97.99,129.73,75.07,35.08,32.55,1799.98,2919.67,1.52,17.35,283.00,26.61
1995/04/01,61.36,102.35,105.10,101.36,139.67,99.57,132.15,76.04,37.38,35.19,1849.44,2894.89,1.63,18.77,281.50,26.75
1995/05/01,60.72,101.43,105.46,102.06,136.84,97.37,130.63,73.35,36.91,34.55,1765.48,2771.57,1.66,18.43,287.75,26.40
1995/06/01,60.09,102.37,108.24,106.22,126.86,96.45,125.36,75.56,35.35,32.50,1775.80,2987.68,1.63,17.33,326.00,26.52
1995/07/01,59.07,103.18,111.01,110.05,119.87,95.27,118.36,78.59,33.26,30.10,1867.28,3076.45,1.43,16.06,345.60,26.52
1995/08/01,58.90,101.76,110.00,108.17,126.93,93.44,113.43,78.99,33.82,30.90,1890.05,3040.14,1.53,16.49,340.67,26.10
1995/09/01,58.72,100.45,109.62,108.76,117.61,91.19,113.71,74.93,34.31,31.42,1761.72,2910.43,1.63,16.77,359.75,25.89
1995/10/01,58.06,100.02,111.27,110.74,116.17,88.66,111.30,72.30,33.51,30.32,1671.95,2810.07,1.76,16.18,382.60,26.25
1995/11/01,58.51,99.73,109.15,108.41,115.92,90.22,112.75,73.94,34.39,31.51,1655.93,2981.62,1.99,16.82,340.50,26.00
1995/12/01,59.37,98.64,108.88,109.39,104.17,88.29,109.22,73.17,36.39,33.62,1657.82,2918.21,2.67,17.93,341.25,25.59
1996/01/01,59.12,98.16,110.07,110.78,103.53,86.13,108.90,69.69,36.28,33.34,1584.48,2605.00,2.93,17.79,364.40,25.45
1996/02/01,59.79,99.66,112.74,112.97,110.63,86.45,108.61,70.44,36.46,33.11,1594.57,2544.67,3.83,17.69,367.00,25.54
1996/03/01,61.60,100.42,112.78,113.59,105.36,87.93,111.24,71.09,38.89,36.40,1614.86,2563.35,2.92,19.46,362.50,25.39
1996/04/01,64.22,104.28,119.73,120.88,109.07,88.68,113.44,70.79,40.79,38.82,1587.40,2594.17,2.25,20.78,325.80,25.20
1996/05/01,63.37,106.56,122.56,123.61,112.87,90.39,116.60,71.46,38.11,35.76,1593.86,2658.76,2.24,19.12,332.25,25.18
